SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile,placement_rationale_pl
index,www.yahoo.com,,Desktop,Web,DISPLAY,300x250,US,2354935,1597386,2313847,69.04%,198,0.01%,3715.698362,1.578,2.326,18.766,0,0.00%,0.6783,0.9826,2.3261,0.7848,0.0001,0.5886,medium,IAB12 - News & Politics,IAB18 - Technology & Computing,news,"mass_reach, professionals, high_income, parents","Globalny portal internetowy i agregator treści oferujący wiadomości, poczta i usługi zapewniające maszywny zasięg wśród szerokiego audytorium."
outbrain,www.gala.fr,,Mobile,Web,DISPLAY,500x120,FR,413943,0,0,0.00%,2304,0.56%,631.605676,1.526,0.0,0.274,0,0.00%,0.0,0.0,0.0,0.0,0.0001,0.0,low,IAB9 - Hobbies & Interests,IAB20 - Lifestyle,entertainment,"mass_reach, young_adults",Magazyn celebrytów i entertainment o dużym zasięgu wśród kobiet zainteresowanych modą i stylem życia.
adxbr,www.ambito.com,,Mobile,Web,DISPLAY,336x280,MX,333476,248079,317462,78.14%,3888,1.17%,1690.841057,5.07,6.816,0.435,0,0.00%,0.7439,0.952,6.8157,0.8167,0.0,0.8167,low,IAB19 - Business & Finance,IAB19-1 - Financial News,finance,"professionals,high_income",Argentyński portal biznesu i finansów dla profesjonalistów inwestujących z fokusu na rynki lokalny i międzynarodowy.
adx,nlc.hu,,Mobile,Web,DISPLAY,300x250,HU,307423,275677,298729,92.28%,8099,2.63%,3809.597407,12.392,13.819,0.47,0,0.00%,0.8967,0.9717,13.8191,0.9229,0.0,0.9229,low,IAB12 - News & Politics,,news,mass_reach,Węgierski serwis informacyjny o szerokim zasięgu wśród lokalnej publiczności.
sovrn,tvprime.correiobraziliense.com.br,,Mobile,Web,DISPLAY,970x250,BR,247569,214716,241616,88.87%,988,0.40%,370.46415,1.496,1.725,0.375,0,0.00%,0.8673,0.976,1.7254,0.9053,0.0001,0.9053,low,IAB19 - Entertainment,IAB12 - News & Politics,entertainment,"mass_reach, professionals","Brazylijski serwis telewizji online od zaufanego wydawcy prasowego, oferujący wiarygodną platformę dla marek."
adx,www.rmfon.pl,,Desktop,Web,DISPLAY,970x250,PL,216748,212859,216172,98.47%,10,0.00%,35.580521,0.164,0.167,3.558,0,0.00%,0.9821,0.9973,0.1672,0.9874,0.0006,0.9874,low,IAB17 - Music & Audio,IAB19 - Technology & Computing,entertainment,"mass_reach, young_adults","Popularna polska stacja radiowa online z szerokim zasięgiem wśród słuchaczy wszystkich grup wiekowych, stanowiąca bezpieczną platformę dla reklam mainstream."
amazon,www.tudogostoso.com.br,,Mobile,Web,DISPLAY,320x100,BR,213407,164232,210666,77.96%,821,0.38%,259.852313,1.218,1.582,0.317,0,0.00%,0.7696,0.9872,1.5822,0.8458,0.0001,0.8458,low,IAB9 - Hobbies & Interests,IAB1 - Arts & Entertainment,lifestyle,"mass_reach,parents,young_adults",Brazylijski portal kulinarny przyciąga miłośników gotowania i użytkowników szukających przepisów i porad kuchennych.
rp,www.espn.com.br,,Mobile,Web,VIDEO,1920x1080,BR,210993,152845,191309,79.89%,479,0.23%,829.564189,3.932,5.427,1.732,168321,79.78%,0.7244,0.9067,5.4275,0.7882,0.0,0.7882,low,IAB17 - Sports,,sports,"mass_reach, young_adults, professionals","Brazylijska edycja ESPN oferująca kompleksową zawartość sportową, idealna dla marek szukających reach wśród fanów sportu."
adx,www.dailymail.com,,Mobile,Web,DISPLAY,300x250,GB,210739,163404,207497,78.75%,449,0.21%,279.077248,1.324,1.708,0.622,0,0.00%,0.7754,0.9846,1.7079,0.8486,0.0001,0.6364,medium,IAB12 - News & Politics,IAB11 - Entertainment,news,"mass_reach, parents","Amerykańska wersja Daily Mail o szerokim zasięgu, ale wymagająca weryfikacji otoczenia ze względu na kontrowersyjne treści."
medianet,www.closermag.fr,,Mobile,Web,DISPLAY,300x600,FR,187067,109623,181297,60.47%,841,0.45%,261.878352,1.4,2.389,0.311,0,0.00%,0.586,0.9692,2.3889,0.7201,0.0001,0.5401,medium,IAB6 - Entertainment,IAB7 - Style & Fashion,entertainment,"mass_reach, young_adults, women","Francuski magazyn o celebrytach, modzie i stylu życia docierający do zainteresowanych trendami i życiem gwiazd."
