ADVERTISER_NAME,advertiser_industry,SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile
MX Sephora,beauty,adxbr,peopleenespanol.com,,Mobile,Web,DISPLAY,300x250,MX,7296,3557,7041,0.5052,458,0.0628,233.459126,31.998,65.634,0.51,0,0.0,0.4875,0.965,65.6337,0.7351,0.0007,0.7351,low,IAB18,,lifestyle,"young_adults,high_income"
MX Sephora,beauty,ogury,diario.mx,,Mobile,Web,DISPLAY,970x250,MX,7253,6800,7082,0.9602,43,0.59,33.739045,4.652,4.962,0.785,0,0.0,0.9375,0.9764,4.9616,0.9683,0.009,0.9683,low,IAB18,,lifestyle,"young_adults,high_income"
Sky Showtime,entertainment,adx,www.tekstowo.pl,,Mobile,Web,DISPLAY,728x90,PL,7251,6827,7015,0.9732,5,0.07,2.528283,0.349,0.37,0.506,0,0.0,0.9415,0.9675,0.3703,0.9704,0.1203,0.9704,low,IAB1,,entertainment,"mass_reach,young_adults"
Sky Showtime,entertainment,openx,przegladsportowy.onet.pl,,Mobile,Web,DISPLAY,300x600,PL,7183,4253,7090,0.5999,18,0.25,11.456681,1.595,2.694,0.636,0,0.0,0.5921,0.9871,2.6938,0.7935,0.0165,0.7935,low,IAB1,,entertainment,"mass_reach,young_adults"
mtl_emea_uk_ip_fp_multi,other,gumgum,www.aol.co.uk,,Desktop,Web,DISPLAY,300x250,GB,7101,5780,7060,0.8187000000000001,1,0.01,21.974242,3.095,3.802,21.974,0,0.0,0.814,0.9942,3.8018,0.9064,0.0117,0.9064,low,IAB0,,other,mass_reach
BR Ype Amaciante Concentrado,fmcg,sovrn,www.vgnoticias.com.br,,Mobile,Web,DISPLAY,970x250,BR,7097,6068,6930,0.8756,18,0.25,5.920067,0.834,0.976,0.329,0,0.0,0.855,0.9765,0.9756,0.9261,0.0457,0.9261,low,IAB8,,other,"mass_reach,parents"
FDJ - FR,gaming,index,actu.voici.fr,,Desktop,Web,DISPLAY,300x600,FR,7068,5336,6979,0.7646,8,0.11,3.896075,0.551,0.73,0.487,0,0.0,0.755,0.9874,0.7301,0.876,0.061,0.876,low,IAB9,,gaming,"young_adults,mass_reach"
Haleon Advil RO,health,openx,www.yahoo.com,,Mobile,Web,DISPLAY,320x50,RO,7055,5325,6765,0.7870999999999999,2,0.03,0.871992,0.124,0.164,0.436,0,0.0,0.7548,0.9589,0.1638,0.873,0.272,0.873,low,IAB7,,health,"mass_reach,professionals"
Circus Daily - Belgium,entertainment,prebidserver,www.footmercato.net,,Mobile,Web,DISPLAY,336x280,BE,7048,4725,6941,0.6807,12,0.17,31.648666,4.49,6.698,2.637,0,0.0,0.6704,0.9848,6.6981,0.8327,0.0067,0.8327,low,IAB1,,entertainment,"mass_reach,young_adults"
BR Stellantis RAM,automotive,adxbr,stealthelook.com.br,,Mobile,Web,DISPLAY,320x100,BR,7045,3268,6836,0.4781,7,0.1,0.8219,0.117,0.251,0.117,0,0.0,0.4639,0.9703,0.2515,0.7242,0.1771,0.5242,medium,IAB2,,automotive,"mass_reach,professionals"
PL Polpharma Metafen,health,openx,turystyka.wp.pl,,Mobile,Web,VIDEO,1300x1280,PL,7039,5501,7025,0.7831,11,0.16,44.901102,6.379,8.162,4.082,4536,0.6444,0.7815,0.998,8.1624,0.8236,0.0055,0.8905,low,IAB7,,health,"mass_reach,professionals"
Localiza Seminovos,automotive,sovrn,www.terra.com.br,,Mobile,Web,DISPLAY,320x100,BR,6992,2171,6323,0.3433,7,0.1,8.107371,1.16,3.734,1.158,0,0.0,0.3105,0.9043,3.7344,0.6238,0.0119,0.4238,medium,IAB2,,automotive,"mass_reach,professionals"
Warner Bros - Global,entertainment,medianet,www.tomsguide.com,,Mobile,Web,DISPLAY,320x100,AU,6873,6286,6772,0.9282,2,0.03,3.078423,0.448,0.49,1.539,0,0.0,0.9146,0.9853,0.4897,0.9567,0.091,0.9567,low,IAB1,,entertainment,"mass_reach,young_adults"
Sky Showtime - Poland,entertainment,adx,zielona.interia.pl,,Desktop,Web,DISPLAY,970x250,PL,6863,4204,6690,0.6284000000000001,1,0.01,0.980047,0.143,0.233,0.98,0,0.0,0.6126,0.9748,0.2331,0.8016,0.1911,0.8016,low,IAB1,,entertainment,"mass_reach,young_adults"
Sky Showtime,entertainment,adx,plock.wyborcza.pl,,Mobile,Web,DISPLAY,336x280,PL,6802,5015,6761,0.7418,6,0.09,2.306123,0.339,0.46,0.384,0,0.0,0.7373,0.994,0.4598,0.8679,0.0969,0.8679,low,IAB1,,entertainment,"mass_reach,young_adults"
Sky Showtime,entertainment,prebid,kobieta.onet.pl,,Desktop,Web,DISPLAY,300x250,PL,6794,4656,6707,0.6942,1,0.01,1.687172,0.248,0.362,1.687,0,0.0,0.6853,0.9872,0.3624,0.8407,0.1229,0.8407,low,IAB1,,entertainment,"mass_reach,young_adults"
Warner Bros - Global,entertainment,rp,www.usatoday.com,,Mobile,Web,DISPLAY,320x50,TH,6724,2916,6559,0.4446,4,0.06,3.228645,0.48,1.107,0.807,0,0.0,0.4337,0.9755,1.1072,0.7101,0.0402,0.5101,medium,IAB1,,entertainment,"mass_reach,young_adults"
BR Stellantis Jeep Compass,automotive,adxbr,onibusbrasil.com,,Mobile,Web,DISPLAY,336x280,BR,6634,3050,6483,0.4705,8,0.12,0.864453,0.13,0.283,0.108,0,0.0,0.4598,0.9772,0.2834,0.7238,0.1572,0.5238,medium,IAB2,,automotive,"mass_reach,professionals"
Circus Daily - Belgium,entertainment,sovrn,sain-et-naturel.ouest-france.fr,,Mobile,Web,VIDEO,1300x1280,BE,6619,0,0,0.0,0,0.0,12.94429,1.956,0.0,0.0,6049,0.9139,0.0,0.0,,0.2285,0.0,0.0,high,IAB1,,entertainment,"mass_reach,young_adults"
Sheilas Wheels,finance,triplelift,www.eurogamer.net,,Desktop,Web,DISPLAY,300x100,GB,6539,2359,6437,0.3665,28,0.43,12.052673,1.843,5.109,0.43,0,0.0,0.3608,0.9844,5.1092,0.6754,0.0087,0.4754,medium,IAB13,,finance,"professionals,high_income"
BR Stellantis RAM,automotive,adxbr,quatrorodas.abril.com.br,,Mobile,Web,DISPLAY,320x100,BR,6488,6069,6350,0.9557,98,0.0151,12.437392,1.917,2.049,0.127,0,0.0,0.9354,0.9787,2.0493,0.9672,0.0217,0.9672,low,IAB2,,automotive,"mass_reach,professionals"
Sheilas Wheels,finance,onetag,www.telegraph.co.uk,,Desktop,Web,DISPLAY,300x600,GB,6456,5756,6371,0.9035,26,0.4,8.374141,1.297,1.455,0.322,0,0.0,0.8916,0.9868,1.4549,0.9451,0.0306,0.9451,low,IAB13,,finance,"professionals,high_income"
MyCircus - France,entertainment,triplelift,www.bfmtv.com,,Desktop,Web,DISPLAY,300x600,FR,6167,2575,6141,0.4193,0,0.0,6.420472,1.041,2.493,0.0,0,0.0,0.4175,0.9958,2.4934,0.7076,0.0179,0.7076,low,IAB1,,entertainment,"mass_reach,young_adults"
Betano BR,gaming,openx,playhop.com,,Desktop,Web,DISPLAY,300x600,BR,6153,4435,6042,0.7340000000000001,31,0.5,1.279055,0.208,0.288,0.041,0,0.0,0.7208,0.982,0.2884,0.858,0.1545,0.858,low,IAB9,,gaming,"young_adults,mass_reach"
Sky Showtime,entertainment,appnexus,finanse.wp.pl,,Desktop,Web,DISPLAY,300x600,PL,6152,5006,6119,0.8181,8,0.13,3.90725,0.635,0.781,0.488,0,0.0,0.8137,0.9946,0.7805,0.9063,0.0571,0.9063,low,IAB1,,entertainment,"mass_reach,young_adults"
Empik,ecommerce,pubmatic,portal.abczdrowie.pl,,Mobile,Web,DISPLAY,300x250,PL,6122,5015,6022,0.8328,24,0.39,12.138657,1.983,2.42,0.506,0,0.0,0.8192,0.9837,2.4205,0.9083,0.0184,0.9083,low,IAB22,,shopping,"mass_reach,young_adults"
Adamed,health,rp,www.money.pl,,Desktop,Web,DISPLAY,300x600,PL,6053,4929,5971,0.8255,6,0.1,16.498495,2.726,3.347,2.75,0,0.0,0.8143,0.9865,3.3472,0.906,0.0133,0.906,low,IAB7,,health,"mass_reach,professionals"
Sky Showtime,entertainment,smilewanted,kultura.gazeta.pl,,Mobile,Web,DISPLAY,300x250,PL,6001,2367,5867,0.4034,0,0.0,1.35132,0.225,0.571,0.0,0,0.0,0.3944,0.9777,0.5709,0.6905,0.078,0.6905,medium,IAB1,,entertainment,"mass_reach,young_adults"
777 - Spain,gaming,rp,www.tripadvisor.es,,Mobile,Web,DISPLAY,728x90,ES,5941,3517,5723,0.6145,31,0.52,4.497163,0.757,1.279,0.145,0,0.0,0.592,0.9633,1.2787,0.7889,0.0348,0.7889,low,IAB9,,gaming,"young_adults,mass_reach"
Bouygues Telecom,tech,adrenalead,www.supertoinette.com,,Desktop,Web,DISPLAY,500x120,FR,5921,0,0,0.0,16,0.27,2.781692,0.47,0.0,0.174,0,0.0,0.0,0.0,,0.0,0.0,0.0,high,IAB19,,technology,"young_adults,tech_enthusiasts"
Warner Bros - Global,entertainment,adxbr,news1.metacorepc.com,,Mobile,Web,DISPLAY,300x250,MX,5916,3148,5569,0.5653,52,0.88,15.079861,2.549,4.79,0.29,0,0.0,0.5321,0.9413,4.7903,0.7533,0.0093,0.7533,low,IAB1,,entertainment,"mass_reach,young_adults"
BR BHP,other,adxbr,www.tudosaladeaula.com,,Mobile,Web,DISPLAY,320x480,BR,5897,4630,5836,0.7934,46,0.78,17.320269,2.937,3.741,0.377,0,0.0,0.7851,0.9897,3.7409,0.8916,0.0119,0.8916,low,IAB0,,other,mass_reach
USP Zdrowie UMMU,health,adx,fajnyzwierzak.pl,,Mobile,Web,DISPLAY,336x280,PL,5890,4865,5771,0.843,27,0.46,15.490789,2.63,3.184,0.574,0,0.0,0.826,0.9798,3.1841,0.9114,0.014,0.9114,low,IAB7,,health,"mass_reach,professionals"
Sky Showtime,entertainment,adx,manelemp3.net,,Desktop,Web,DISPLAY,728x90,RO,5776,4399,5494,0.8007,0,0.0,0.69734,0.121,0.159,0.0,0,0.0,0.7616,0.9512,0.1585,0.876,0.281,0.876,low,IAB1,,entertainment,"mass_reach,young_adults"
Calabria,food,onetag,roma.repubblica.it,,Mobile,Web,DISPLAY,300x600,IT,5709,990,5561,0.178,5,0.09,2.006562,0.351,2.027,0.401,0,0.0,0.1734,0.9741,2.0268,0.576,0.022,0.376,high,IAB8,,other,"mass_reach,parents"
Sky Showtime,entertainment,sas,pysznosci.pl,,Mobile,Web,DISPLAY,320x100,PL,5658,5183,5510,0.9407,29,0.51,4.021803,0.711,0.776,0.139,0,0.0,0.916,0.9738,0.776,0.9572,0.0574,0.9572,low,IAB1,,entertainment,"mass_reach,young_adults"
Betano BR,gaming,rp,www.redetv.uol.com.br,,Mobile,Web,DISPLAY,970x250,BR,5654,5345,5575,0.9587,15,0.27,1.520997,0.269,0.285,0.101,0,0.0,0.9453,0.986,0.2846,0.9724,0.1565,0.9724,low,IAB9,,gaming,"young_adults,mass_reach"
Sheilas Wheels,finance,rp,www.transfermarkt.co.uk,,Desktop,Web,DISPLAY,320x480,GB,5635,2872,5488,0.5233,8,0.14,3.431691,0.609,1.195,0.429,0,0.0,0.5097,0.9739,1.1949,0.7486,0.0373,0.7486,low,IAB13,,finance,"professionals,high_income"
Adidas - France,fashion,pubmatic,www.purepeople.com,,Mobile,Web,DISPLAY,320x100,FR,5630,4622,5446,0.8487,8,0.14,7.764963,1.379,1.68,0.971,0,0.0,0.821,0.9673,1.68,0.908,0.0265,0.908,low,IAB18,,lifestyle,"young_adults,high_income"
Sky Showtime - Poland,entertainment,wpsspexternal,wyborcza.pl,,Desktop,Web,DISPLAY,300x250,PL,5600,4657,5578,0.8349,1,0.02,0.976237,0.174,0.21,0.976,0,0.0,0.8316,0.9961,0.2096,0.9155,0.2125,0.9155,low,IAB1,,entertainment,"mass_reach,young_adults"
PL Toyota Multibrand - CZ,automotive,adx,www.podnikatel.cz,,Mobile,Web,DISPLAY,336x280,CZ,5569,4377,5513,0.7939,20,0.36,12.849383,2.307,2.936,0.642,0,0.0,0.786,0.9899,2.9357,0.8919,0.0152,0.8919,low,IAB2,,automotive,"mass_reach,professionals"
Frizer,beauty,outbrain,www.linkiesta.it,,Mobile,Web,DISPLAY,500x120,IT,5526,0,0,0.0,12,0.22,4.214447,0.763,0.0,0.351,0,0.0,0.0,0.0,,0.0,0.0,0.0,high,IAB18,,lifestyle,"young_adults,high_income"
Sky Showtime,entertainment,prebid,www.money.pl,,Mobile,Web,DISPLAY,300x250,PL,5510,3918,5440,0.7202,7,0.13,1.456032,0.264,0.372,0.208,0,0.0,0.7111,0.9873,0.3716,0.8538,0.1199,0.8538,low,IAB1,,entertainment,"mass_reach,young_adults"
BR Ype Amaciante Concentrado,fmcg,sas,www.climatempo.com.br,,Mobile,Web,DISPLAY,300x250,BR,5276,2331,5096,0.4574,15,0.28,4.302845,0.816,1.846,0.287,0,0.0,0.4418,0.9659,1.8459,0.7117,0.0241,0.5116,medium,IAB8,,other,"mass_reach,parents"
Sky Showtime,entertainment,adx,szamoldki.hu,,Mobile,Web,DISPLAY,336x280,HU,5263,2472,5020,0.4924,5,0.1,1.329242,0.253,0.538,0.266,0,0.0,0.4697,0.9538,0.5377,0.7231,0.0828,0.5231,medium,IAB1,,entertainment,"mass_reach,young_adults"
Localiza Seminovos,automotive,adxbr,expable.com,,Mobile,Web,DISPLAY,300x600,BR,5259,155,1737,0.0892,59,1.12,1.694681,0.322,10.933,0.029,0,0.0,0.0295,0.3303,10.9334,0.2097,0.0041,0.0097,high,IAB2,,automotive,"mass_reach,professionals"
mtl_emea_be_ip_fp_multi,other,index,www.sudinfo.be,,Mobile,Web,DISPLAY,970x250,BE,5248,4366,5191,0.8411,3,0.06,9.490009,1.808,2.174,3.163,0,0.0,0.8319,0.9891,2.1736,0.9151,0.0205,0.9151,low,IAB0,,other,mass_reach
Warner Bros - Global,entertainment,index,panlasangpinoy.com,,Mobile,Web,DISPLAY,320x50,PH,5246,4713,4869,0.968,7,0.13,3.146915,0.6,0.668,0.45,0,0.0,0.8984,0.9281,0.6677,0.9481,0.0667,0.9481,low,IAB1,,entertainment,"mass_reach,young_adults"
Sheilas Wheels,finance,index,www.glasgowlive.co.uk,,Mobile,Web,DISPLAY,300x250,GB,5191,1102,5086,0.2167,2,0.04,4.693864,0.904,4.259,2.347,0,0.0,0.2123,0.9798,4.2594,0.5982,0.0105,0.3982,high,IAB13,,finance,"professionals,high_income"
mtl_emea_de_ip_fp_multi,other,adx,www.lecker.de,,Desktop,Web,DISPLAY,160x600,DE,5175,4508,5022,0.8976999999999999,21,0.41,7.175741,1.387,1.592,0.342,0,0.0,0.8711,0.9704,1.5918,0.9341,0.028,0.9341,low,IAB0,,other,mass_reach
Sky Showtime,entertainment,adx,www.horecatrends.pl,,Desktop,Web,DISPLAY,728x90,PL,5167,4854,5134,0.9455,3,0.06,1.837229,0.356,0.378,0.612,0,0.0,0.9394,0.9936,0.3785,0.9696,0.1177,0.9696,low,IAB1,,entertainment,"mass_reach,young_adults"
Localiza Seminovos,automotive,sas,extra.globo.com,,Desktop,Web,DISPLAY,970x250,BR,5158,441,1086,0.4061,46,0.89,2.014865,0.391,4.569,0.044,0,0.0,0.0855,0.2105,4.5689,0.3083,0.0098,0.1083,high,IAB2,,automotive,"mass_reach,professionals"
777 - Spain,gaming,rp,www.primitivacomprobar.es,,Mobile,Web,DISPLAY,728x90,ES,5143,893,4990,0.179,3,0.06,7.496879,1.458,8.395,2.499,0,0.0,0.1736,0.9703,8.3952,0.5746,0.0053,0.3746,high,IAB9,,gaming,"young_adults,mass_reach"
Sky Showtime,entertainment,adx,newsy.przyslijprzepis.pl,,Mobile,Web,DISPLAY,300x600,PL,5121,3995,5103,0.7829,10,0.2,7.766208,1.517,1.944,0.777,0,0.0,0.7801,0.9965,1.944,0.8897,0.0229,0.8897,low,IAB1,,entertainment,"mass_reach,young_adults"
Sheilas Wheels,finance,medianet,www.aljazeera.com,,Desktop,Web,DISPLAY,300x600,GB,5121,4438,5077,0.8741,22,0.43,2.171078,0.424,0.489,0.099,0,0.0,0.8666,0.9914,0.4892,0.9327,0.0911,0.9327,low,IAB13,,finance,"professionals,high_income"
Sky Showtime,entertainment,rp,akcios-ujsag.hu,,Desktop,Web,DISPLAY,970x250,HU,5103,3163,5095,0.6208,0,0.0,5.905021,1.157,1.867,0.0,0,0.0,0.6198,0.9984,1.8669,0.8096,0.0239,0.8096,low,IAB1,,entertainment,"mass_reach,young_adults"
BR SalonLine,beauty,adxbr,www.portafolhetos.com.br,,Mobile,Web,DISPLAY,336x280,BR,5083,3176,4808,0.6606000000000001,16,0.31,3.425671,0.674,1.079,0.214,0,0.0,0.6248,0.9459,1.0786,0.8033,0.0413,0.8033,low,IAB18,,lifestyle,"young_adults,high_income"
MMs,food,opera,oglobo.globo.com,,Mobile,Web,VIDEO,1920x1080,BR,5039,0,0,0.0,0,0.0,14.833703,2.944,0.0,0.0,4470,0.8870999999999999,0.0,0.0,,0.2218,0.0,0.0,high,IAB8,,other,"mass_reach,parents"
MX Sephora,beauty,adxbr,www.buzzfeed.com,,Mobile,Web,DISPLAY,300x600,MX,5009,3718,4925,0.7548999999999999,27,0.54,20.807006,4.154,5.596,0.771,0,0.0,0.7423,0.9832,5.5963,0.869,0.008,0.869,low,IAB18,,lifestyle,"young_adults,high_income"
Adidas - Italy,sport,adx,www.bergamonews.it,,Mobile,Web,DISPLAY,336x280,IT,4998,2582,4819,0.5357999999999999,14,0.28,7.916025,1.584,3.066,0.565,0,0.0,0.5166,0.9642,3.0659,0.75,0.0145,0.75,low,IAB17,,sports,"young_adults,mass_reach"
GEAP - BR,finance,adxbr,g1.globo.com,,Desktop,Web,DISPLAY,300x600,BR,4950,3807,4838,0.7868999999999999,1431,0.2891,154.279978,31.168,40.525,0.108,0,0.0,0.7691,0.9774,40.5253,0.8821,0.0011,0.8821,low,IAB13,,finance,"professionals,high_income"
mtl_emea_za_veh_hw_multi,automotive,kidoz,play.google.com,Traffic Escape!,Mobile,In-app,VIDEO,1300x1280,ZA,4850,4566,4678,0.9761,144,0.0297,29.846487,6.154,6.537,0.207,4575,0.9433,0.9414,0.9645,6.5367,0.9638,0.0068,0.9703,low,IAB2,,automotive,"mass_reach,professionals"
BR Ype Amaciante Concentrado,fmcg,medianet,www.tempo.com,,Mobile,Web,DISPLAY,300x250,BR,4850,2626,4653,0.5644,17,0.35,4.026983,0.83,1.534,0.237,0,0.0,0.5414,0.9594,1.5335,0.7619,0.029,0.7619,low,IAB8,,other,"mass_reach,parents"
777 - Spain,gaming,sovrn,www.cope.es,,Mobile,Web,DISPLAY,320x100,ES,4843,2185,4749,0.4600999999999999,6,0.12,3.609798,0.745,1.652,0.602,0,0.0,0.4512,0.9806,1.6521,0.7204,0.027,0.5204,medium,IAB9,,gaming,"young_adults,mass_reach"
FDJ - FR,gaming,sovrn,madeinmonegasque.ouest-france.fr,,Mobile,Web,DISPLAY,970x250,FR,4795,4232,4703,0.8998999999999999,20,0.42,1.895751,0.395,0.448,0.095,0,0.0,0.8826,0.9808,0.448,0.9404,0.0994,0.9404,low,IAB9,,gaming,"young_adults,mass_reach"
Petits-Fils,family,adx,www.capital.fr,,Mobile,Web,DISPLAY,336x280,FR,4761,2484,4563,0.5444,34,0.71,9.187249,1.93,3.699,0.27,0,0.0,0.5217,0.9584,3.6986,0.7514,0.012,0.7514,low,IAB6,,parenting,parents
BR Piracanjuba,food,appnexus,www.minijogos.com.br,,Desktop,Web,DISPLAY,300x250,BR,4761,3870,4672,0.8283,35,0.74,8.076432,1.696,2.087,0.231,0,0.0,0.8129,0.9813,2.0869,0.9048,0.0213,0.9048,low,IAB8,,other,"mass_reach,parents"
BR Stellantis Jeep Compass,automotive,onetag,clickpetroleoegas.com.br,,Mobile,Web,DISPLAY,728x90,BR,4753,2977,4669,0.6376,4,0.08,0.372561,0.078,0.125,0.093,0,0.0,0.6263,0.9823,0.1251,0.8099,0.356,0.8099,low,IAB2,,automotive,"mass_reach,professionals"
Sky Showtime,entertainment,adx,hang.hu,,Mobile,Web,DISPLAY,970x250,HU,4751,3145,4663,0.6745,5,0.11,3.002612,0.632,0.955,0.601,0,0.0,0.662,0.9815,0.9547,0.828,0.0467,0.828,low,IAB1,,entertainment,"mass_reach,young_adults"
Sky Showtime,entertainment,ogury,www.nemzetisport.hu,,Desktop,Web,DISPLAY,300x600,HU,4737,2636,4710,0.5597,10,0.21,1.126377,0.238,0.427,0.113,0,0.0,0.5565,0.9943,0.4273,0.777,0.1043,0.777,low,IAB1,,entertainment,"mass_reach,young_adults"
Localiza Seminovos,automotive,taboola,noticias.r7.com,,Mobile,Web,DISPLAY,250x250,BR,4676,662,1894,0.3495,100,0.0214,4.103698,0.878,6.199,0.041,0,0.0,0.1416,0.405,6.1989,0.3773,0.0072,0.1773,high,IAB2,,automotive,"mass_reach,professionals"
Doritos - PT,food,prebidserver,www.cmjornal.pt,,Mobile,Web,DISPLAY,320x100,PT,4669,3274,4620,0.7087,2,0.04,6.393053,1.369,1.953,3.197,0,0.0,0.7012,0.9895,1.9527,0.8491,0.0228,0.8491,low,IAB8,,other,"mass_reach,parents"
777 - Spain,gaming,rp,www.lecturas.com,,Mobile,Web,DISPLAY,320x100,ES,4649,4005,4555,0.8793000000000001,7,0.15,6.361413,1.368,1.588,0.909,0,0.0,0.8615,0.9798,1.5884,0.9296,0.028,0.9296,low,IAB9,,gaming,"young_adults,mass_reach"
Warner Bros - Global,entertainment,rp,www.usatoday.com,,Mobile,Web,DISPLAY,300x250,TH,4615,2723,4501,0.605,6,0.13,4.310801,0.934,1.583,0.718,0,0.0,0.59,0.9753,1.5831,0.7901,0.0281,0.7901,low,IAB1,,entertainment,"mass_reach,young_adults"
Mean Green,fmcg,taboola,www.aol.com,,Mobile,Web,DISPLAY,300x250,US,4606,4084,4568,0.894,107,0.0232,53.5,11.615,13.1,0.5,0,0.0,0.8867,0.9917,13.0999,0.9428,0.0034,0.9428,low,IAB8,,other,"mass_reach,parents"
Localiza Seminovos,automotive,adxbr,quatrorodas.abril.com.br,,Desktop,Web,DISPLAY,970x250,BR,4602,1604,1933,0.8298000000000001,146,0.0317,7.623158,1.656,4.753,0.052,0,0.0,0.3485,0.42,4.7526,0.6249,0.0094,0.6249,medium,IAB2,,automotive,"mass_reach,professionals"
Petits-Fils,family,ogury,www.jeuxvideo.com,,Mobile,Web,DISPLAY,300x600,FR,4577,1737,4551,0.3817,14,0.31,9.664775,2.112,5.564,0.69,0,0.0,0.3795,0.9943,5.5641,0.688,0.008,0.488,medium,IAB6,,parenting,parents
Visit Florida,travel,appnexus,slickdeals.net,,Mobile,Web,DISPLAY,300x600,US,4575,2577,4500,0.5727,5,0.11,13.725,3.0,5.326,2.745,0,0.0,0.5633,0.9836,5.326,0.7782,0.0084,0.7782,low,IAB20,,other,"mass_reach,high_income"
mtl_emea_es_ip_fp_multi,other,seedtag,www.telecinco.es,,Mobile,Web,DISPLAY,970x90,ES,4569,4347,4514,0.963,5,0.11,5.761481,1.261,1.325,1.152,0,0.0,0.9514,0.988,1.3254,0.9755,0.0336,0.9755,low,IAB0,,other,mass_reach
Bouygues Telecom,tech,onetag,www.cuisineaz.com,,Mobile,Web,DISPLAY,500x120,FR,4562,0,0,0.0,1,0.02,4.683872,1.027,0.0,4.684,0,0.0,0.0,0.0,,0.0,0.0,0.0,high,IAB19,,technology,"young_adults,tech_enthusiasts"
mtl_emea_es_ip_fp_multi,other,pubmatic,www.ultimahora.es,,Mobile,Web,DISPLAY,160x600,ES,4542,2751,4500,0.6113000000000001,10,0.22,6.419466,1.413,2.334,0.642,0,0.0,0.6057,0.9908,2.3335,0.8011,0.0191,0.8011,low,IAB0,,other,mass_reach
Localiza Seminovos,automotive,adxbr,www.antenadosnofutebol.com.br,,Mobile,Web,DISPLAY,336x280,BR,4485,344,457,0.7526999999999999,100,0.0223,4.621652,1.03,13.435,0.046,0,0.0,0.0767,0.1019,13.435,0.4273,0.0033,0.4273,medium,IAB2,,automotive,"mass_reach,professionals"
MX Banamex,banking,adxbr,www.lecturas.com,,Mobile,Web,VIDEO,1300x1280,MX,4457,3842,4251,0.9038,5,0.11,16.207651,3.636,4.219,3.242,3298,0.74,0.862,0.9538,4.2185,0.8803,0.0106,0.9288,low,IAB13,,finance,"professionals,high_income"
Warner Bros - Global,entertainment,adx,www.thepoke.com,,Mobile,Web,DISPLAY,300x250,GB,4448,3433,4406,0.7792,7,0.16,4.828701,1.086,1.407,0.69,0,0.0,0.7718,0.9906,1.4066,0.8849,0.0317,0.8849,low,IAB1,,entertainment,"mass_reach,young_adults"
777 - Spain,gaming,appnexus,www.levante-emv.com,,Mobile,Web,DISPLAY,300x600,ES,4421,1983,4322,0.4588,25,0.57,9.167393,2.074,4.623,0.367,0,0.0,0.4485,0.9776,4.623,0.7182,0.0096,0.5182,medium,IAB9,,gaming,"young_adults,mass_reach"
British Red Cross,other,rp,www.mumsnet.com,,Mobile,Web,DISPLAY,728x90,GB,4415,3850,4349,0.8853,0,0.0,10.71402,2.427,2.783,0.0,0,0.0,0.872,0.9851,2.7829,0.9352,0.016,0.9352,low,IAB0,,other,mass_reach
Sheilas Wheels,finance,rp,metro.co.uk,,Mobile,Web,DISPLAY,300x250,GB,4376,2022,4282,0.4722,9,0.21,7.156115,1.635,3.539,0.795,0,0.0,0.4621,0.9785,3.5391,0.7254,0.0126,0.5253,medium,IAB13,,finance,"professionals,high_income"
Localiza Seminovos,automotive,adxbr,rs.olx.com.br,,Mobile,Web,DISPLAY,300x250,BR,4354,37,417,0.0886999999999999,11,0.25,0.395743,0.091,10.696,0.036,0,0.0,0.0085,0.0958,10.6958,0.0922,0.0042,0.0,high,IAB2,,automotive,"mass_reach,professionals"
mtl_emea_uk_ip_fp_multi,other,index,www.belfastlive.co.uk,,Desktop,Web,VIDEO,1300x1280,GB,4347,1476,1553,0.9504,2,0.05,27.258648,6.271,18.468,13.629,3517,0.8090999999999999,0.3395,0.3573,18.4679,0.7075,0.0024,0.6539,medium,IAB0,,other,mass_reach
Circus Daily - Belgium,entertainment,rise,www.science-et-vie.com,,Desktop,Web,VIDEO,1300x1280,BE,4330,2289,2661,0.8602,1,0.02,33.92064,7.834,14.819,33.921,3889,0.8981999999999999,0.5286,0.6145,14.819,0.7837,0.003,0.7373,low,IAB1,,entertainment,"mass_reach,young_adults"
BR Stellantis Jeep Compass,automotive,appnexus,firstly.mobileposse.com,,Mobile,Web,DISPLAY,320x100,BR,4328,933,4208,0.2217,6,0.14,0.555434,0.128,0.595,0.093,0,0.0,0.2156,0.9723,0.5953,0.597,0.0748,0.397,high,IAB2,,automotive,"mass_reach,professionals"
Philip Morris International Spain,fmcg,rp,www.lasprovincias.es,,Mobile,Web,DISPLAY,970x250,ES,4316,4024,4235,0.9502,7,0.16,3.479409,0.806,0.865,0.497,0,0.0,0.9323,0.9812,0.8647,0.9657,0.0515,0.9657,low,IAB8,,other,"mass_reach,parents"
